theme;block;globalBlockHeight;element_id;total_elements;elementHeight;elementWidth;x_orig;y_orig;x_end;y_end;rap_size;type
zephyr-blocks;text_on_the_top_and_social_media_links_on_the_bottom.json;316.0;element_id_077e37a6a838;10;0.75;0.875;73.3125;15.0;74.1875;15.75;1.1666666666666667;vector
zephyr-blocks;text_on_the_top_and_social_media_links_on_the_bottom.json;316.0;element_id_9bbba44adef2;10;0.875;0.6875;70.1875;14.9375;70.875;15.8125;0.7857142857142857;vector
zephyr-blocks;text_on_the_top_and_social_media_links_on_the_bottom.json;316.0;element_id_e6d37636b63e;10;0.875;0.875;66.8125;14.9375;67.6875;15.8125;1.0;vector
zephyr-blocks;text_on_the_top_and_social_media_links_on_the_bottom.json;316.0;element_id_741a7d9edf5c;10;0.875;0.375;63.8125;14.9375;64.1875;15.8125;0.42857142857142855;vector
zephyr-blocks;text_on_the_top_and_social_media_links_on_the_bottom.json;316.0;element_id_a08d64bf9486;10;1.0;18.4375;5.625;15.0;24.0625;16.0;18.4375;text
zephyr-blocks;text_on_the_top_and_social_media_links_on_the_bottom.json;316.0;element_id_62af6738cdc2;10;0.0625;68.75;5.625;13.1875;74.375;13.25;1100.0;shape
zephyr-blocks;text_on_the_top_and_social_media_links_on_the_bottom.json;316.0;element_id_67c605f7ecd6;10;3.75;23.375;35.3125;5.625;58.6875;9.375;6.233333333333333;text
zephyr-blocks;text_on_the_top_and_social_media_links_on_the_bottom.json;316.0;element_id_d6a3fd300423;10;1.0;11.875;35.3125;3.75;47.1875;4.75;11.875;text
zephyr-blocks;text_on_the_top_and_social_media_links_on_the_bottom.json;316.0;element_id_e54689327057;10;3.75;19.0;5.625000000000001;5.625;24.625;9.375;5.066666666666666;text
zephyr-blocks;text_on_the_top_and_social_media_links_on_the_bottom.json;316.0;element_id_02443cc5b7be;10;1.0;11.875;5.625000000000001;3.75;17.5;4.75;11.875;text
zephyr-blocks;text_with_link_left_image_with_title_centred_and_text_with_link_right.json;783.0;element_id_995b13d3cb17;11;33.125;26.25;26.875;15.8125;53.125;48.9375;0.7924528301886793;image
zephyr-blocks;text_with_link_left_image_with_title_centred_and_text_with_link_right.json;783.0;element_id_2a2539ffb41a;11;0.8125;15.3125;57.8125;37.1875;73.125;38.0;18.846153846153847;text
zephyr-blocks;text_with_link_left_image_with_title_centred_and_text_with_link_right.json;783.0;element_id_ca10dc6d1422;11;5.5;15.3125;57.8125;28.375;73.125;33.875;2.784090909090909;text
zephyr-blocks;text_with_link_left_image_with_title_centred_and_text_with_link_right.json;783.0;element_id_f571b38099dc;11;1.0;15.3125;57.8125;25.375;73.125;26.375;15.3125;text
zephyr-blocks;text_with_link_left_image_with_title_centred_and_text_with_link_right.json;783.0;element_id_30f221abe1c6;11;1.9375;15.3125;57.8125;23.3125;73.125;25.25;7.903225806451613;text
zephyr-blocks;text_with_link_left_image_with_title_centred_and_text_with_link_right.json;783.0;element_id_27a67a4a2b7a;11;0.8125;15.3125;6.875;37.1875;22.1875;38.0;18.846153846153847;text
zephyr-blocks;text_with_link_left_image_with_title_centred_and_text_with_link_right.json;783.0;element_id_0a8eecd223a3;11;5.5;15.3125;6.875;28.375;22.1875;33.875;2.784090909090909;text
zephyr-blocks;text_with_link_left_image_with_title_centred_and_text_with_link_right.json;783.0;element_id_581d0f2dd0dd;11;1.0;15.3125;6.875;25.375;22.1875;26.375;15.3125;text
zephyr-blocks;text_with_link_left_image_with_title_centred_and_text_with_link_right.json;783.0;element_id_e12a38dc1bce;11;1.9375;15.3125;6.875;23.3125;22.1875;25.25;7.903225806451613;text
zephyr-blocks;text_with_link_left_image_with_title_centred_and_text_with_link_right.json;783.0;element_id_b4612fe06735;11;5.625;0.0625;40.0;10.1875;40.0625;15.8125;0.011111111111111112;vector
zephyr-blocks;text_with_link_left_image_with_title_centred_and_text_with_link_right.json;783.0;element_id_0428393af7b8;11;2.6875;27.1875;26.4375;5.9375;53.625;8.625;10.116279069767442;text
zephyr-blocks;3_rows_with_image_and_text_and_call_to_actions.json;2061.0;element_id_17735e58c47b;25;30.125;23.75;50.625;86.8125;74.375;116.9375;0.7883817427385892;image
